Wall time,Step,Value
1782284942.0311546,359424,658.8300170898438
1782284950.9141877,361472,658.8300170898438
1782284955.3211184,362496,658.8300170898438
1782284959.863583,363520,658.8300170898438
1782284964.2889264,364544,658.8300170898438
1782284977.5964227,367616,543.0700073242188
1782284986.463405,369664,543.0700073242188
1782284995.3501842,371712,543.0700073242188
1782284999.8323576,372736,543.0700073242188
1782285004.332423,373760,543.0700073242188
1782285008.7828314,374784,543.0700073242188
1782285013.2120864,375808,543.0700073242188
1782285017.6485684,376832,543.0700073242188
1782285022.129392,377856,543.0700073242188
1782285048.7331002,384000,543.0700073242188
1782285061.9324615,387072,543.0700073242188
1782285066.4381895,388096,543.0700073242188
1782285097.4951167,395264,605.6599731445312
1782285101.9305248,396288,875.0499877929688
1782285119.8449497,400384,875.0499877929688
1782285124.311394,401408,875.0499877929688
1782285128.795279,402432,875.0499877929688
1782285133.2305248,403456,875.0499877929688
1782285137.630934,404480,1007.6099853515625
1782285142.0461109,405504,1007.6099853515625
1782285146.465511,406528,1007.6099853515625
1782285150.8978908,407552,1007.6099853515625
1782285155.3645785,408576,1007.6099853515625
1782285159.781753,409600,1007.6099853515625
1782285168.7383254,411648,1007.6099853515625
1782285173.2281594,412672,1007.6099853515625
1782285182.0320232,414720,1007.6099853515625
1782285199.7967107,418816,1007.6099853515625
1782285204.213688,419840,1007.6099853515625
1782285217.4447582,422912,655.1699829101562
1782285221.8633187,423936,655.1699829101562
1782285226.3297405,424960,655.1699829101562
1782285230.7488816,425984,655.1699829101562
1782285244.1116483,429056,655.1699829101562
1782285257.3447106,432128,655.1699829101562
1782285261.7950191,433152,655.1699829101562
1782285275.1791108,436224,655.1699829101562
1782285279.5943205,437248,655.1699829101562
1782285297.2436702,441344,655.1699829101562
1782285301.7158687,442368,655.1699829101562
1782285315.079718,445440,655.1699829101562
1782285319.510059,446464,655.1699829101562
1782285323.9449172,447488,655.1699829101562
1782285328.4138098,448512,655.1699829101562
1782285332.8957803,449536,655.1699829101562
1782285337.3439362,450560,655.1699829101562
1782285341.798191,451584,655.1699829101562
1782285346.2458704,452608,655.1699829101562
1782285355.079693,454656,655.1699829101562
1782285359.4771338,455680,655.1699829101562
1782285363.8951132,456704,655.1699829101562
1782285368.3433669,457728,655.1699829101562
1782285386.0619082,461824,655.1699829101562
1782285390.4617705,462848,655.1699829101562
1782285394.8537745,463872,655.1699829101562
1782285399.264929,464896,655.1699829101562
1782285403.7116523,465920,655.1699829101562
1782285412.5599182,467968,655.1699829101562
1782285421.3943717,470016,850.2899780273438
1782285430.2122927,472064,850.2899780273438
1782285434.6961174,473088,850.2899780273438
1782285448.045166,476160,1022.3800048828125
1782285452.4930224,477184,1040.18994140625
1782285456.9306839,478208,1176.800048828125
1782285465.8634088,480256,1176.800048828125
1782285474.7469456,482304,1176.800048828125
1782285492.7281039,486400,1176.800048828125
1782285497.175538,487424,1176.800048828125
1782285510.4759367,490496,1176.800048828125
1782285514.8946526,491520,1176.800048828125
1782285519.3121297,492544,1176.800048828125
1782285523.7434604,493568,1176.800048828125
1782285528.1616952,494592,1176.800048828125
1782285532.6440232,495616,1176.800048828125
1782285537.0933301,496640,1343.4200439453125
1782285546.1282408,498688,1343.4200439453125
1782285550.5588558,499712,1343.4200439453125
1782285554.930265,500736,1343.4200439453125
